
-----------------------------------------------------------------------------------------------
Trying to read PHITS file dump_dmp
opened binary PHITS dump file with contents:
    pdgcode   ekin[MeV]       x[cm]       y[cm]       z[cm]          ux          uy          uz    time[ns]      weight
      2112     0.82388     -40.931      16.951          10    -0.83734     0.38609     0.38703      39.981     0.97598
      2112      1.9754      7.2674       2.605          10     0.39463     0.16167      0.9045      10.364     0.99481
      2112    0.018177      23.913      13.265          10     0.69413     0.37714     0.61314       224.9     0.65483
      2112      1.9395     -17.602     -28.376          10    -0.48097    -0.74645     0.45988      20.298     0.98754
      2112      1.2608      12.921      -5.559          10     0.61777    -0.26932      0.7388      15.131     0.99159
      2112     0.40639     -43.777      21.418          10    -0.83199     0.43956      0.3385      62.367     0.93496
      2112      2.8008     -5.0405      14.045          10    -0.18573     0.62281     0.76001      10.695     0.99795
      2112         200  0.00035102   0.0038856          10          -0           0           1      1.7684           1
      2112         200  -0.0065957  -0.0016188          10           0           0           1      1.7684           1
      2112         200    0.002417  -0.0026522          10           0           0           1      1.7684           1
      2112      199.99    -0.17829      1.2539          10  -0.0098096     0.06597     0.99777      1.7709           1
      2112      144.01     -2.5801     -1.2645          10    -0.13439   -0.078194     0.98784      1.9365           1
      2112      21.803      4.5072     -34.775          10    0.032078    -0.89192     0.45106      6.9001           1
      2112      5.0358      9.6869      -5.119          10     0.47541    -0.25819     0.84102      7.3343           1
      2112       1.603     0.64245      18.075          10  -0.0082963     0.72248     0.69135      15.544     0.99101
      2112     0.32556     -27.285     -6.0735          10    -0.85219    -0.19504     0.48553      43.791     0.98144
      2112     0.40147      10.943       -17.2          10      0.3754    -0.67438     0.63583      31.526     0.98147
      2112      2.0422      17.165      13.105          10     0.54512     0.56241     0.62172      15.462     0.98045
      2112      6.9135      -2.217      4.5235          10    -0.11538     0.23592      0.9649      5.9817           1
      2112     0.13125     -1.4212      15.025          10    -0.16625     0.61851     0.76799      66.363     0.87584
      2112     0.22628      38.572      28.232          10     0.75369     0.57599     0.31651      83.137     0.94375
      2112      1.6439     0.99021      6.5053          10    0.057095     0.34327      0.9375      11.448           1
      2112         200   0.0061642  -0.0060717          10           0           0           1      1.7684           1
      2112         200   0.0081871  -0.0028692          10           0          -0           1      1.7684           1
      2112      180.04      1.7171     -7.9278          10    0.087692    -0.40536     0.90994      1.9189           1
      2112     0.25175      27.345      2.2554          10     0.82676   0.0033414     0.56254      52.763     0.96837
      2112     0.23536      -48.31       -3.38          10    -0.92105    -0.10029     0.37631      81.761     0.92825
      2112    0.051109     -9.0053     -7.8292          10    -0.46955    -0.38717     0.79348      72.438     0.94532
      2112      25.403      29.132      22.349          10     0.73046     0.56066     0.38999      6.6866           1
      2112       3.347       1.703     -25.577          10    0.056545    -0.85307     0.51872       12.73           1
      2112      3.5545      18.707       2.995          10     0.76311     0.12242     0.63457      10.275           1
      2112    0.067465      20.541      -26.16          10     0.58223    -0.69907      0.4151      104.51     0.98487
      2112      1.7237      27.551     -10.072          10     0.86311     -0.2156     0.45668      20.983     0.99977
      2112         200  -0.0020432   0.0097454          10           0           0           1      1.7684           1
      2112      167.37     -5.2572       -8.03          10    -0.26336    -0.39985     0.87793      1.9956           1
      2112     0.42107     -7.5258     -16.787          10    -0.12746    -0.67902     0.72297      33.412     0.99302
      2112         200   0.0017263   0.0055699          10          -0           0           1      1.7684           1
      2112         200  -0.0056774  -0.0043429          10           0           0           1      1.7684           1
      2112      88.024     -6.0324     -9.5516          10    -0.29212     -0.4711     0.83231      2.4478           1
      2112      2.4488     -24.736      25.421          10     -0.6285     0.64673     0.43212       18.92           1
      2112     0.61495      6.9496     -9.9355          10     0.33352    -0.47004     0.81721      20.891       0.959
      2112      106.82     -11.508      3.7619          10    -0.57824     0.20128     0.79065      2.3436           1
      2112      2.3942      3.6493     -6.7995          10     0.21729    -0.38063     0.89884      8.9634           1
      2112         200  -0.0032492   0.0014427          10           0          -0           1      1.7684           1
      2112      150.94     -2.6255     -4.5981          10     -0.1474    -0.25728     0.95503      1.9365           1
      2112      199.99     0.21656      1.5717          10    0.011172    0.090298     0.99585      1.7725           1
      2112     0.28033      33.173     -30.249          10     0.64728    -0.63151     0.42688      70.072     0.95396
      2112      2.2056     0.84366     -6.9356          10    0.040677    -0.35594     0.93362      10.187           1
      2112      16.712      18.532      -6.182          10      0.6765    -0.22237     0.70207       5.517           1
      2112    0.096241      -3.934      4.8554          10     -0.3231     0.37314      0.8697      72.126     0.87812
      2112         200   0.0072461   -0.002276          10           0           0           1      1.7684           1
      2112      156.06      11.587     -7.2448          10     0.49911    -0.31188     0.80847      2.1678           1
      2112     0.52315     -27.307     -18.734          10    -0.71232    -0.49368     0.49887      39.046     0.98846
      2112         200   0.0061299   0.0050877          10           0           0           1      1.7684           1
      2112       37.19     -9.9699     -30.271          10    -0.27106    -0.81641     0.50991      5.1827           1
      2112     0.65928     -30.462     -18.703          10     -0.7391    -0.50826     0.44204      42.611     0.89036
      2112      43.516      14.052      7.5682          10     0.58463     0.31452     0.74786      3.4337           1
      2112     0.67787     -7.1773        10.9          10    -0.32841     0.44527       0.833      20.509     0.96657
      2112      3.3824      8.2872     -30.567          10     0.25359    -0.86718      0.4286      15.673     0.99852
      2112      5.4518      41.876     -23.186          10     0.84312    -0.43742     0.31274        16.8     0.99882
